,total_runtime_in_seconds,connect_size,num_positions,buffer_size,T2,decoherence_rate,include_classical_comm,mean_fidelity,mean_capacity,std_fidelity,std_capacity
0,9.999999999999999e-05,2.0,100.0,inf,0.0,0.0,0.0,,0.0,,0.0
1,9.999999999999999e-05,3.0,100.0,inf,0.0,0.0,0.0,,0.0,,0.0
2,9.999999999999999e-05,4.0,100.0,inf,0.0,0.0,0.0,,0.0,,0.0
