,total_runtime_in_seconds,connect_size,rates,num_positions,buffer_size,T2,decoherence_rate,include_classical_comm,mean_fidelity,mean_capacity,std_fidelity,std_capacity
0,9.999999999999999e-05,2.0,"[1900000.0, 1900000.0, 1900000.0, 1000000.0, 1000000.0, 1000000.0, 1000000.0, 1000000.0, 1000000.0]",100.0,inf,1e-07,0.0,0.0,0.6606357424215504,5966666.666666668,0.017272863410885592,45785.3283956367
1,9.999999999999999e-05,2.0,"[1900000.0, 1900000.0, 1900000.0, 1000000.0, 1000000.0, 1000000.0, 1000000.0, 1000000.0, 1000000.0]",100.0,inf,4.9999999999999996e-06,0.0,0.0,0.974067602132101,5796666.666666668,0.002631583039842999,43800.89632094894
2,9.999999999999999e-05,2.0,"[1900000.0, 1900000.0, 1900000.0, 1000000.0, 1000000.0, 1000000.0, 1000000.0, 1000000.0, 1000000.0]",100.0,inf,1e-05,0.0,0.0,0.988048507130098,5850000.000000001,0.0007228708725805927,44969.125210773476
